annex_a,quota_period,line,label,category,value,repaired
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(A),(A) Increase in Vehicle Population,A,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(A),(A) Increase in Vehicle Population,B,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(A),(A) Increase in Vehicle Population,C,94,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(A),(A) Increase in Vehicle Population,D,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(A),(A) Increase in Vehicle Population,E,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(A),(A) Increase in Vehicle Population,Total,94,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B1),B1) Total vehicle deregistrations from Oct 2020 to Dec 2020,A,4449,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B1),B1) Total vehicle deregistrations from Oct 2020 to Dec 2020,B,4831,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B1),B1) Total vehicle deregistrations from Oct 2020 to Dec 2020,C,2187,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B1),B1) Total vehicle deregistrations from Oct 2020 to Dec 2020,D,2409,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B1),B1) Total vehicle deregistrations from Oct 2020 to Dec 2020,E,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B1),B1) Total vehicle deregistrations from Oct 2020 to Dec 2020,Total,13876,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),A,-444,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),B,-483,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),C,-218,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),D,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),E,1145,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,B2),B2) Contribution of deregistrations to Category E (10% of B1),Total,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(B),(B) Replacements of Deregistered Vehicles,A,4005,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(B),(B) Replacements of Deregistered Vehicles,B,4348,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(B),(B) Replacements of Deregistered Vehicles,C,1969,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(B),(B) Replacements of Deregistered Vehicles,D,2409,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(B),(B) Replacements of Deregistered Vehicles,E,1145,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(B),(B) Replacements of Deregistered Vehicles,Total,13876,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C1),C1) Adjustments for change in taxi population,A,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C1),C1) Adjustments for change in taxi population,B,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C1),C1) Adjustments for change in taxi population,C,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C1),C1) Adjustments for change in taxi population,D,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C1),C1) Adjustments for change in taxi population,E,299,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C1),C1) Adjustments for change in taxi population,Total,299,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,A,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,B,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,C,-998,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,D,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,E,-111,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C2),C2) Adjustments for replacements under Early Turnover Scheme,Total,-1109,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C3),C3) Expired COEs,A,6,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C3),C3) Expired COEs,B,7,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C3),C3) Expired COEs,C,0,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C3),C3) Expired COEs,D,3,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C3),C3) Expired COEs,E,2,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,C3),C3) Expired COEs,Total,18,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(C),(C) Adjustments,A,6,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(C),(C) Adjustments,B,7,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(C),(C) Adjustments,C,-998,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(C),(C) Adjustments,D,3,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(C),(C) Adjustments,E,190,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(C),(C) Adjustments,Total,-792,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D1),D1) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (A + B + C),A,4011,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D1),D1) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (A + B + C),B,4355,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D1),D1) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (A + B + C),C,1065,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D1),D1) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (A + B + C),D,2412,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D1),D1) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (A + B + C),E,1335,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D1),D1) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (A + B + C),Total,13178,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D2),"D2) Redistribution of quota from suspended Apr 2020, May 2020 and Jun 2020 bidding exercises for Feb 2021 to Apr 2021 bidding exercises",A,1288,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D2),"D2) Redistribution of quota from suspended Apr 2020, May 2020 and Jun 2020 bidding exercises for Feb 2021 to Apr 2021 bidding exercises",B,1296,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D2),"D2) Redistribution of quota from suspended Apr 2020, May 2020 and Jun 2020 bidding exercises for Feb 2021 to Apr 2021 bidding exercises",C,470,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D2),"D2) Redistribution of quota from suspended Apr 2020, May 2020 and Jun 2020 bidding exercises for Feb 2021 to Apr 2021 bidding exercises",D,838,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D2),"D2) Redistribution of quota from suspended Apr 2020, May 2020 and Jun 2020 bidding exercises for Feb 2021 to Apr 2021 bidding exercises",E,441,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,D2),"D2) Redistribution of quota from suspended Apr 2020, May 2020 and Jun 2020 bidding exercises for Feb 2021 to Apr 2021 bidding exercises",Total,4333,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(D),(D) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (D1 + D2),A,5299,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(D),(D) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (D1 + D2),B,5651,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(D),(D) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (D1 + D2),C,1535,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(D),(D) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (D1 + D2),D,3250,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(D),(D) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (D1 + D2),E,1776,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,(D),(D) Total Quota for Feb 2021 to Apr 2021 Bidding Exercises (D1 + D2),Total,17511,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021 Bidding Exercises,A,1766,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021 Bidding Exercises,B,1883,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021 Bidding Exercises,C,511,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021 Bidding Exercises,D,1083,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021 Bidding Exercises,E,592,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021,Average Monthly Quota for Feb 2021 to Apr 2021 Bidding Exercises,Total,5835,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Monthly Quota for Nov 2020 to Jan 2021,Monthly Quota for Nov 2020 to Jan 2021 Bidding Exercises,A,1925,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Monthly Quota for Nov 2020 to Jan 2021,Monthly Quota for Nov 2020 to Jan 2021 Bidding Exercises,B,2014,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Monthly Quota for Nov 2020 to Jan 2021,Monthly Quota for Nov 2020 to Jan 2021 Bidding Exercises,C,735,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Monthly Quota for Nov 2020 to Jan 2021,Monthly Quota for Nov 2020 to Jan 2021 Bidding Exercises,D,1049,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Monthly Quota for Nov 2020 to Jan 2021,Monthly Quota for Nov 2020 to Jan 2021 Bidding Exercises,E,926,False
2021-01-certificate-of-entitlement-quota-for-february-2021-to-april-2021.annex-a.pdf,Feb 2021 to Apr 2021,Monthly Quota for Nov 2020 to Jan 2021,Monthly Quota for Nov 2020 to Jan 2021 Bidding Exercises,Total,6649,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A1),A1) Vehicle population as at 31 Dec 2020,A,319137,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A1),A1) Vehicle population as at 31 Dec 2020,B,314417,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A1),A1) Vehicle population as at 31 Dec 2020,C,151139,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A1),A1) Vehicle population as at 31 Dec 2020,D,140720,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A1),A1) Vehicle population as at 31 Dec 2020,E,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A1),A1) Vehicle population as at 31 Dec 2020,Total,925413,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],A,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],B,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],C,94,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],D,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],E,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,A2),A2) Net increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],Total,94,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(A),(A) Increase in Vehicle Population,A,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(A),(A) Increase in Vehicle Population,B,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(A),(A) Increase in Vehicle Population,C,94,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(A),(A) Increase in Vehicle Population,D,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(A),(A) Increase in Vehicle Population,E,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(A),(A) Increase in Vehicle Population,Total,94,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B1),B1) Total vehicle de-registrations from Jul 2021 to Sep 2021,A,3544,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B1),B1) Total vehicle de-registrations from Jul 2021 to Sep 2021,B,3908,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B1),B1) Total vehicle de-registrations from Jul 2021 to Sep 2021,C,1964,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B1),B1) Total vehicle de-registrations from Jul 2021 to Sep 2021,D,2463,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B1),B1) Total vehicle de-registrations from Jul 2021 to Sep 2021,E,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B1),B1) Total vehicle de-registrations from Jul 2021 to Sep 2021,Total,11879,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B2),B2) Contribution of deregistrations to Category E (10% of B1),A,-354,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B2),B2) Contribution of deregistrations to Category E (10% of B1),B,-390,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B2),B2) Contribution of deregistrations to Category E (10% of B1),C,-196,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B2),B2) Contribution of deregistrations to Category E (10% of B1),D,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B2),B2) Contribution of deregistrations to Category E (10% of B1),E,940,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,B2),B2) Contribution of deregistrations to Category E (10% of B1),Total,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(B),(B) Replacements of Deregistered Vehicles,A,3190,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(B),(B) Replacements of Deregistered Vehicles,B,3518,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(B),(B) Replacements of Deregistered Vehicles,C,1768,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(B),(B) Replacements of Deregistered Vehicles,D,2463,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(B),(B) Replacements of Deregistered Vehicles,E,940,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(B),(B) Replacements of Deregistered Vehicles,Total,11879,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C1),C1) Adjustments for change in taxi population,A,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C1),C1) Adjustments for change in taxi population,B,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C1),C1) Adjustments for change in taxi population,C,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C1),C1) Adjustments for change in taxi population,D,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C1),C1) Adjustments for change in taxi population,E,71,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C1),C1) Adjustments for change in taxi population,Total,71,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C2),C2) Adjustments for replacements under Early Turnover Scheme,A,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C2),C2) Adjustments for replacements under Early Turnover Scheme,B,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C2),C2) Adjustments for replacements under Early Turnover Scheme,C,-1322,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C2),C2) Adjustments for replacements under Early Turnover Scheme,D,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C2),C2) Adjustments for replacements under Early Turnover Scheme,E,-147,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C2),C2) Adjustments for replacements under Early Turnover Scheme,Total,-1469,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C3),C3) Expired COEs,A,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C3),C3) Expired COEs,B,3,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C3),C3) Expired COEs,C,0,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C3),C3) Expired COEs,D,5,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C3),C3) Expired COEs,E,7,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,C3),C3) Expired COEs,Total,15,True
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(C),(C) Adjustments,A,0,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(C),(C) Adjustments,B,3,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(C),(C) Adjustments,C,-1322,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(C),(C) Adjustments,D,5,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(C),(C) Adjustments,E,-69,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,(C),(C) Adjustments,Total,-1383,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022 Bidding Exercises (A + B + C),A,3190,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022 Bidding Exercises (A + B + C),B,3521,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022 Bidding Exercises (A + B + C),C,540,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022 Bidding Exercises (A + B + C),D,2468,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022 Bidding Exercises (A + B + C),E,871,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022,Total Quota for Nov 2021 to Jan 2022 Bidding Exercises (A + B + C),Total,10590,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022 Bidding Exercises,A,1063,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022 Bidding Exercises,B,1173,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022 Bidding Exercises,C,180,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022 Bidding Exercises,D,822,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022 Bidding Exercises,E,290,False
2021-10-COE_quota_for_Nov21_to_Jan_22.annex-a.pdf,Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022,Average Monthly Quota for Nov 2021 to Jan 2022 Bidding Exercises,Total,3528,False
2021-04-COE_quota_for_May_to_Jul_21.annex-a.pdf,May 2021 to Jul 2021,A1),A1) Vehicle Population as at 31 Dec 2020,A,319137,False
2021-04-COE_quota_for_May_to_Jul_21.annex-a.pdf,May 2021 to Jul 2021,A1),A1) Vehicle Population as at 31 Dec 2020,B,314417,False
