annex_a,quota_period,line,label,category,value,repaired
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(B),(B) Replacements of Deregistered Vehicles,Total,19405,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C1),C1) Adjustments for change in taxi population,A,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C1),C1) Adjustments for change in taxi population,B,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C1),C1) Adjustments for change in taxi population,C,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C1),C1) Adjustments for change in taxi population,D,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C1),C1) Adjustments for change in taxi population,E,468,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C1),C1) Adjustments for change in taxi population,Total,468,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C2),C2) Adjustments for replacements under Early Turnover Scheme,A,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C2),C2) Adjustments for replacements under Early Turnover Scheme,B,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C2),C2) Adjustments for replacements under Early Turnover Scheme,C,-872,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C2),C2) Adjustments for replacements under Early Turnover Scheme,D,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C2),C2) Adjustments for replacements under Early Turnover Scheme,E,-96,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C2),C2) Adjustments for replacements under Early Turnover Scheme,Total,-968,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C3),C3) Expired COEs,A,4,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C3),C3) Expired COEs,B,27,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C3),C3) Expired COEs,C,3,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C3),C3) Expired COEs,D,22,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C3),C3) Expired COEs,E,0,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,C3),C3) Expired COEs,Total,56,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(C),(C) Adjustments,A,4,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(C),(C) Adjustments,B,27,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(C),(C) Adjustments,C,-869,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(C),(C) Adjustments,D,22,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(C),(C) Adjustments,E,372,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,(C),(C) Adjustments,Total,-444,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020 Bidding Exercises (A + B + C),A,5836,False
