lever_set,b_A,b_B,b_C,pcu_C,growth_upper,categories,jacobian_s2,jacobian_s3,r2_O1,r2_O2,r2_O3,largest_unexplained,o3_flat,front_s2,front_s3,front_n
injection,-0.5,-0.5,-2.0,1.5,0.01,ABCDE,0.1653,0.0328,0.96598,0.99499,0.95020,0.2232,False,0.5128,0.0538,200
injection,-0.5,-0.5,-2.0,1.5,0.01,ABC,0.1786,0.0248,0.93021,0.99499,0.95020,0.2642,False,0.4556,0.0337,200
injection,-0.5,-0.5,-2.0,1.5,0.03,ABCDE,0.3062,0.0628,0.86345,0.97967,0.86470,0.3695,False,0.5063,0.0684,200
injection,-0.5,-0.5,-2.0,1.5,0.03,ABC,0.2996,0.0257,0.82831,0.97967,0.86470,0.4144,False,0.3735,0.0406,200
injection,-0.5,-0.5,-2.0,2.0,0.01,ABCDE,0.1688,0.0408,0.96598,0.98943,0.95020,0.2232,False,0.4844,0.0528,200
injection,-0.5,-0.5,-2.0,2.0,0.01,ABC,0.1826,0.0242,0.93021,0.98943,0.95020,0.2642,False,0.4430,0.0367,200
injection,-0.5,-0.5,-2.0,2.0,0.03,ABCDE,0.3168,0.0771,0.86345,0.95726,0.86470,0.3695,False,0.5084,0.0698,200
injection,-0.5,-0.5,-2.0,2.0,0.03,ABC,0.3118,0.0246,0.82831,0.95726,0.86470,0.4144,False,0.4646,0.0232,200
injection,-0.5,-0.5,-2.0,3.0,0.01,ABCDE,0.1803,0.0537,0.96598,0.96938,0.95020,0.2232,False,0.6011,0.0497,200
injection,-0.5,-0.5,-2.0,3.0,0.01,ABC,0.1961,0.0223,0.93021,0.96938,0.95020,0.2642,False,0.3733,0.0225,200
injection,-0.5,-0.5,-2.0,3.0,0.03,ABCDE,0.3427,0.0969,0.86345,0.88390,0.86470,0.3695,False,0.5561,0.0738,200
injection,-0.5,-0.5,-2.0,3.0,0.03,ABC,0.3414,0.0220,0.82831,0.88390,0.86470,0.4144,False,0.4864,0.0217,200
injection,-0.5,-1.0,-0.5,1.0,0.01,ABCDE,0.0316,0.0153,0.99970,0.99736,0.99862,0.0514,False,0.2599,0.0371,200
injection,-0.5,-1.0,-0.5,1.0,0.01,ABC,0.0800,0.0072,0.97041,0.99736,0.99862,0.1720,False,0.3987,0.0187,200
injection,-0.5,-1.0,-0.5,1.0,0.03,ABCDE,0.0609,0.0295,0.99887,0.98915,0.99449,0.1042,False,0.2904,0.0362,200
injection,-0.5,-1.0,-0.5,1.0,0.03,ABC,0.1193,0.0076,0.94130,0.98915,0.99449,0.2423,False,0.3470,0.0358,200
injection,-0.5,-1.0,-0.5,1.5,0.01,ABCDE,0.0335,0.0219,0.99970,0.99499,0.99862,0.0708,False,0.0418,0.0229,200
injection,-0.5,-1.0,-0.5,1.5,0.01,ABC,0.0806,0.0111,0.97041,0.99499,0.99862,0.1720,False,0.5640,0.0311,200
injection,-0.5,-1.0,-0.5,1.5,0.03,ABCDE,0.0648,0.0402,0.99887,0.97967,0.99449,0.1426,False,0.1722,0.0256,200
injection,-0.5,-1.0,-0.5,1.5,0.03,ABC,0.1204,0.0289,0.94130,0.97967,0.99449,0.2423,False,0.5363,0.0323,200
injection,-0.5,-1.0,-0.5,2.0,0.01,ABCDE,0.0469,0.0210,0.99970,0.98943,0.99862,0.1028,False,0.0319,0.0145,200
injection,-0.5,-1.0,-0.5,2.0,0.01,ABC,0.0813,0.0295,0.97041,0.98943,0.99862,0.1720,False,0.4041,0.0377,200
injection,-0.5,-1.0,-0.5,2.0,0.03,ABCDE,0.0932,0.0375,0.99887,0.95726,0.99449,0.2067,False,0.0513,0.0184,200
injection,-0.5,-1.0,-0.5,2.0,0.03,ABC,0.1227,0.0638,0.94130,0.95726,0.99449,0.2423,False,0.3805,0.0309,200
injection,-0.5,-1.0,-0.5,3.0,0.01,ABCDE,0.0787,0.0191,0.99970,0.96938,0.99862,0.1750,False,0.0280,0.0065,200
injection,-0.5,-1.0,-0.5,3.0,0.01,ABC,0.0841,0.0639,0.97041,0.96938,0.99862,0.1750,False,0.4941,0.0332,200
injection,-0.5,-1.0,-0.5,3.0,0.03,ABCDE,0.1524,0.0333,0.99887,0.88390,0.99449,0.3407,False,0.0276,0.0080,200
injection,-0.5,-1.0,-0.5,3.0,0.03,ABC,0.1443,0.1073,0.94130,0.88390,0.99449,0.3407,False,0.3245,0.0320,200
injection,-0.5,-1.0,-1.0,1.0,0.01,ABCDE,0.0511,0.0179,0.99883,0.99736,0.99472,0.0726,False,0.5847,0.0410,200
